INSTNM,CITY,STABBR,REGION,REGION_NAME,CONTROL,CONTROL_NAME,ADM_RATE,SAT_AVG,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_RATE,MD_EARN_WNE_P10
Amherst College,Amherst,MA,1,New England,2,Private nonprofit,0.0901,1533.0,1911,70480,70480,0.939,77644
Appalachian State University,Boone,NC,5,Southeast,1,Public,0.9014,1214.0,19444,7579,25212,0.7453,51836
Arizona State University Campus Immersion,Tempe,AZ,6,Southwest,1,Public,0.8989,,64674,12223,33139,0.6804,62668
Auburn University,Auburn,AL,5,Southeast,1,Public,0.4592,1345.0,26816,12890,34922,0.8195,65337
Babson College,Wellesley,MA,1,New England,2,Private nonprofit,0.1709,1457.0,2728,57152,57152,0.9312,123938
Ball State University,Muncie,IN,3,Great Lakes,1,Public,0.855,1160.0,13988,11082,29630,0.6234,51833
Barnard College,New York,NY,2,Mid East,2,Private nonprofit,0.0884,1520.0,3264,69888,69888,0.9302,80516
Bates College,Lewiston,ME,1,New England,2,Private nonprofit,0.1332,1468.0,1760,66590,66590,0.8969,69498
Baylor University,Waco,TX,6,Southwest,2,Private nonprofit,0.5128,1329.0,14785,58100,58100,0.7999,65793
Berea College,Berea,KY,5,Southeast,2,Private nonprofit,0.1934,1249.0,1513,51658,51658,0.5822,43150
Binghamton University,Vestal,NY,2,Mid East,1,Public,0.3861,1415.0,14655,10567,30447,0.8162,80596
Boise State University,Boise,ID,7,Rocky Mountains,1,Public,0.8721,,17674,9048,27788,0.602,51658
Boston College,Chestnut Hill,MA,1,New England,2,Private nonprofit,0.1643,1507.0,10085,70702,70702,0.9083,103937
Boston University,Boston,MA,1,New England,2,Private nonprofit,0.1111,1480.0,18248,68102,68102,0.8866,83238
Bowdoin College,Brunswick,ME,1,New England,2,Private nonprofit,0.0713,1520.0,1873,67832,67832,0.9528,82735
Bowling Green State University-Main Campus,Bowling Green,OH,3,Great Lakes,1,Public,0.8096,1117.0,12812,14460,22448,0.6373,47896
Brigham Young University,Provo,UT,7,Rocky Mountains,2,Private nonprofit,0.6778,1376.0,32952,6688,6688,0.8098,75790
Brown University,Providence,RI,1,New England,2,Private nonprofit,0.0539,1546.0,7226,71412,71412,0.9569,93487
CUNY Bernard M Baruch College,New York,NY,2,Mid East,1,Public,0.4752,1280.0,16154,7464,15414,0.7212,75971
CUNY Brooklyn College,Brooklyn,NY,2,Mid East,1,Public,0.5836,1140.0,10543,7452,15402,0.5386,60752
CUNY City College,New York,NY,2,Mid East,1,Public,0.6002,1260.0,12505,7340,15290,0.5682,66039
CUNY Hunter College,New York,NY,2,Mid East,1,Public,0.538,1280.0,16289,7382,15332,0.5686,63163
CUNY John Jay College of Criminal Justice,New York,NY,2,Mid East,1,Public,0.5711,1080.0,11590,7470,15420,0.5583,56195
CUNY Lehman College,Bronx,NY,2,Mid East,1,Public,0.5658,970.0,10696,7410,15360,0.5128,58013
CUNY New York City College of Technology,Brooklyn,NY,2,Mid East,1,Public,0.8029,1010.0,13580,7332,15282,0.2147,49365
